step,source_draw_no,target_draw_no,target_draw_date,target_day_category,base_low,base_high,dynamic_low,dynamic_high,recent_shift,year_shift,top5_candidates,hit_count,hit_candidates,candidate_count_unique,rolling_1W_avg_hits,rolling_1W_binary_hit_rate,rolling_1M_avg_hits,rolling_1M_binary_hit_rate,rolling_3M_avg_hits,rolling_3M_binary_hit_rate,rolling_12M_avg_hits,rolling_12M_binary_hit_rate,rolling_24M_avg_hits,rolling_24M_binary_hit_rate
1,4051,4052,2017-01-06,Special,11,27,11,27,0,0,1607|3807|1648|6613|7061,0,,3561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4052,4053,2017-01-07,Saturday,11,26,11,26,0,0,5524|5476|5382|0732|1825,1,5382,3576,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3,4053,4054,2017-01-10,Special,11,27,11,27,0,0,5070|7326|9547|0471|8112,0,,3615,0.3333333432674408,0.3333333333333333,0.3333333432674408,0.3333333333333333,0.3333333432674408,0.3333333333333333,0.3333333432674408,0.3333333333333333,0.3333333432674408,0.3333333333333333
4,4054,4055,2017-01-13,Special,11,27,10,26,-1,0,1458|2457|9081|2655|5208,0,,3499,0.3333333432674408,0.3333333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
5,4055,4056,2017-01-14,Saturday,11,26,11,26,0,0,3780|9216|2561|2617|2983,0,,3460,0.0,0.0,0.20000000298023224,0.2,0.20000000298023224,0.2,0.20000000298023224,0.2,0.20000000298023224,0.2
6,4056,4057,2017-01-17,Special,11,27,10,26,-1,0,2347|1663|9552|1983|4836,0,,3577,0.0,0.0,0.1666666716337204,0.16666666666666666,0.1666666716337204,0.16666666666666666,0.1666666716337204,0.16666666666666666,0.1666666716337204,0.16666666666666666
7,4057,4058,2017-01-20,Special,11,27,10,26,-1,0,9294|3817|3582|3469|5416,0,,3639,0.0,0.0,0.1428571492433548,0.14285714285714285,0.1428571492433548,0.14285714285714285,0.1428571492433548,0.14285714285714285,0.1428571492433548,0.14285714285714285
8,4058,4059,2017-01-21,Saturday,11,26,11,26,0,0,9184|0899|7512|8145|1536,0,,3535,0.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
9,4059,4060,2017-01-24,Special,11,27,10,26,-1,0,5724|3670|1522|3609|0758,0,,3516,0.0,0.0,0.1111111119389534,0.1111111111111111,0.1111111119389534,0.1111111111111111,0.1111111119389534,0.1111111111111111,0.1111111119389534,0.1111111111111111
10,4060,4061,2017-01-27,Special,11,27,10,26,-1,0,1588|2567|1708|8530|4535,0,,3536,0.0,0.0,0.10000000149011612,0.1,0.10000000149011612,0.1,0.10000000149011612,0.1,0.10000000149011612,0.1
11,4061,4062,2017-01-28,Saturday,11,26,11,26,0,0,6514|0805|7512|7504|3947,0,,3573,0.0,0.0,0.09090909361839294,0.09090909090909091,0.09090909361839294,0.09090909090909091,0.09090909361839294,0.09090909090909091,0.09090909361839294,0.09090909090909091
12,4062,4063,2017-01-31,Special,11,27,10,26,-1,0,0729|1874|9282|8334|0774,0,,3551,0.0,0.0,0.0833333358168602,0.08333333333333333,0.0833333358168602,0.08333333333333333,0.0833333358168602,0.08333333333333333,0.0833333358168602,0.08333333333333333
13,4063,4064,2017-02-03,Special,11,27,10,26,-1,0,0477|4167|6219|1560|1825,0,,3614,0.0,0.0,0.07692307978868484,0.07692307692307693,0.07692307978868484,0.07692307692307693,0.07692307978868484,0.07692307692307693,0.07692307978868484,0.07692307692307693
14,4064,4065,2017-02-04,Saturday,11,26,11,26,0,0,7483|0399|0939|3709|4539,0,,3631,0.0,0.0,0.07692307978868484,0.07692307692307693,0.0714285746216774,0.07142857142857142,0.0714285746216774,0.07142857142857142,0.0714285746216774,0.07142857142857142
15,4065,4066,2017-02-07,Special,11,27,10,26,-1,0,9364|3706|0217|4554|5932,0,,3582,0.0,0.0,0.0,0.0,0.06666667014360428,0.06666666666666667,0.06666667014360428,0.06666666666666667,0.06666667014360428,0.06666666666666667
16,4066,4067,2017-02-10,Special,11,27,10,26,-1,0,2890|5520|7483|7495|7080,0,,3565,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
17,4067,4068,2017-02-11,Saturday,11,26,11,26,0,0,0378|1646|8164|2615|4165,0,,3523,0.0,0.0,0.0,0.0,0.05882352963089943,0.058823529411764705,0.05882352963089943,0.058823529411764705,0.05882352963089943,0.058823529411764705
18,4068,4069,2017-02-14,Special,11,27,10,26,-1,0,5247|0058|1819|1981|2496,0,,3593,0.0,0.0,0.0,0.0,0.0555555559694767,0.05555555555555555,0.0555555559694767,0.05555555555555555,0.0555555559694767,0.05555555555555555
19,4069,4070,2017-02-17,Special,11,27,10,26,-1,0,7466|4527|7724|0739|0746,0,,3581,0.0,0.0,0.0,0.0,0.05263157933950424,0.05263157894736842,0.05263157933950424,0.05263157894736842,0.05263157933950424,0.05263157894736842
20,4070,4071,2017-02-18,Saturday,11,26,11,26,0,0,3683|9216|9281|7004|7041,0,,3598,0.0,0.0,0.0,0.0,0.05000000074505806,0.05,0.05000000074505806,0.05,0.05000000074505806,0.05
21,4071,4072,2017-02-21,Special,11,27,10,26,-1,0,9418|6049|9329|7754|5347,0,,3517,0.0,0.0,0.0,0.0,0.0476190485060215,0.047619047619047616,0.0476190485060215,0.047619047619047616,0.0476190485060215,0.047619047619047616
22,4072,4073,2017-02-24,Special,11,27,10,26,-1,0,9017|6373|0942|6870|0618,0,,3465,0.0,0.0,0.0,0.0,0.04545454680919647,0.045454545454545456,0.04545454680919647,0.045454545454545456,0.04545454680919647,0.045454545454545456
23,4073,4074,2017-02-25,Saturday,11,26,11,26,0,0,5247|0389|2059|8145|0752,0,,3548,0.0,0.0,0.0,0.0,0.043478261679410934,0.043478260869565216,0.043478261679410934,0.043478260869565216,0.043478261679410934,0.043478260869565216
24,4074,4075,2017-02-28,Special,11,27,10,26,-1,0,5454|6814|5816|6770|8074,0,,3626,0.0,0.0,0.0,0.0,0.0416666679084301,0.041666666666666664,0.0416666679084301,0.041666666666666664,0.0416666679084301,0.041666666666666664
25,4075,4076,2017-03-03,Special,11,27,9,25,-2,0,1827|0453|2790|0289|1409,0,,3378,0.0,0.0,0.0,0.0,0.03999999910593033,0.04,0.03999999910593033,0.04,0.03999999910593033,0.04
26,4076,4077,2017-03-04,Saturday,11,26,11,26,0,0,0946|7009|7944|0589|0991,0,,3591,0.0,0.0,0.0,0.0,0.03846153989434242,0.038461538461538464,0.03846153989434242,0.038461538461538464,0.03846153989434242,0.038461538461538464
27,4077,4078,2017-03-07,Special,11,27,9,25,-2,0,0907|8327|0472|0760|0738,0,,3571,0.0,0.0,0.0,0.0,0.03703703731298447,0.037037037037037035,0.03703703731298447,0.037037037037037035,0.03703703731298447,0.037037037037037035
28,4078,4079,2017-03-10,Special,11,27,10,26,-1,0,1180|1650|8345|0677|7434,0,,3607,0.0,0.0,0.0,0.0,0.0357142873108387,0.03571428571428571,0.0357142873108387,0.03571428571428571,0.0357142873108387,0.03571428571428571
29,4079,4080,2017-03-11,Saturday,11,26,11,26,0,0,4154|3740|0891|6398|9208,0,,3559,0.0,0.0,0.0,0.0,0.03448275849223137,0.034482758620689655,0.03448275849223137,0.034482758620689655,0.03448275849223137,0.034482758620689655
30,4080,4081,2017-03-14,Special,11,27,9,25,-2,0,3564|8890|4907|5270|8350,0,,3636,0.0,0.0,0.0,0.0,0.03333333507180214,0.03333333333333333,0.03333333507180214,0.03333333333333333,0.03333333507180214,0.03333333333333333
31,4081,4082,2017-03-17,Special,11,27,9,25,-2,0,0156|2385|3825|4830|1667,0,,3571,0.0,0.0,0.0,0.0,0.032258063554763794,0.03225806451612903,0.032258063554763794,0.03225806451612903,0.032258063554763794,0.03225806451612903
32,4082,4083,2017-03-18,Saturday,11,26,11,26,0,0,0951|0909|0981|0983|4963,0,,3404,0.0,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125
33,4083,4084,2017-03-21,Special,11,27,9,25,-2,0,0169|3890|1429|3367|3670,0,,3568,0.0,0.0,0.0,0.0,0.03030303120613098,0.030303030303030304,0.03030303120613098,0.030303030303030304,0.03030303120613098,0.030303030303030304
34,4084,4085,2017-03-24,Special,11,27,10,26,-1,0,3890|0618|2298|3817|7940,0,,3639,0.0,0.0,0.0,0.0,0.029411764815449715,0.029411764705882353,0.029411764815449715,0.029411764705882353,0.029411764815449715,0.029411764705882353
35,4085,4086,2017-03-25,Saturday,11,26,11,26,0,0,1761|0981|5306|6318|0996,0,,3563,0.0,0.0,0.0,0.0,0.02857142873108387,0.02857142857142857,0.02857142873108387,0.02857142857142857,0.02857142873108387,0.02857142857142857
36,4086,4087,2017-03-28,Special,11,27,10,26,-1,0,2893|9281|2161|3565|1826,0,,3545,0.0,0.0,0.0,0.0,0.02777777798473835,0.027777777777777776,0.02777777798473835,0.027777777777777776,0.02777777798473835,0.027777777777777776
37,4087,4088,2017-03-31,Special,11,27,10,26,-1,0,7028|1490|7352|8156|6381,0,,3564,0.0,0.0,0.0,0.0,0.027027027681469917,0.02702702702702703,0.027027027681469917,0.02702702702702703,0.027027027681469917,0.02702702702702703
38,4088,4089,2017-04-01,Saturday,11,26,11,26,0,0,8741|0390|0785|1792|3821,0,,3493,0.0,0.0,0.0,0.0,0.02631578966975212,0.02631578947368421,0.02631578966975212,0.02631578947368421,0.02631578966975212,0.02631578947368421
41,4091,4092,2017-04-08,Saturday,11,26,11,26,0,0,4065|6543|1845|9266|2163,0,,3587,0.0,0.0,0.0,0.0,0.025641025975346565,0.02564102564102564,0.025641025975346565,0.02564102564102564,0.025641025975346565,0.02564102564102564
42,4092,4093,2017-04-11,Special,11,27,10,26,-1,0,5744|6495|5247|5461|7630,0,,3562,0.0,0.0,0.0,0.0,0.025641025975346565,0.02564102564102564,0.02500000037252903,0.025,0.02500000037252903,0.025
43,4093,4094,2017-04-14,Special,11,27,10,26,-1,0,1847|4167|9360|4356|9268,0,,3599,0.0,0.0,0.0,0.0,0.0,0.0,0.024390242993831635,0.024390243902439025,0.024390242993831635,0.024390243902439025
44,4094,4095,2017-04-15,Saturday,11,26,11,26,0,0,9108|3786|0565|7291|8182,0,,3514,0.0,0.0,0.0,0.0,0.0,0.0,0.02380952425301075,0.023809523809523808,0.02380952425301075,0.023809523809523808
45,4095,4096,2017-04-18,Special,11,27,10,26,-1,0,1378|0705|5606|1418|3070,0,,3608,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813866853714,0.023255813953488372,0.023255813866853714,0.023255813953488372
46,4096,4097,2017-04-21,Special,11,27,10,26,-1,0,4364|5045|7049|0961|5249,0,,3539,0.0,0.0,0.0,0.0,0.0,0.0,0.022727273404598236,0.022727272727272728,0.022727273404598236,0.022727272727272728
