DrawNo_From,DrawNo_Target,DrawIndex_Target,TargetDate,TargetDayType,DigitSum_P10,DigitSum_P90,Top1,Top2,Top3,Top4,Top5,ActualWinners,HitCount,Hits
4150,4151,4082,2017-08-25,Saturday,11,25,3355,3792,7061,1582,1792,0132|0552|0902|1104|1554|2341|3363|3564|3602|3905|5565|5699|6240|6368|6473|6535|7467|8160|8318|8635|9673|9826|9995,0,
4151,4152,4083,2017-08-26,Sunday,10,25,0309,5545,0307,0107,0109,0279|1048|1991|2032|2271|4299|4587|4939|5208|5745|6032|6630|6750|7090|7170|7309|7339|7397|7459|7834|7929|8047|8078,0,
4152,4153,4084,2017-08-29,Wednesday,11,25,2826,0283,2087,0483,2967,0176|0280|0705|0796|1002|1192|1878|2815|3798|3873|4732|4813|5028|6576|7621|7778|8016|8031|8515|8898|9211|9685|9819,0,
4153,4154,4085,2017-09-01,Saturday,11,25,3355,3795,3130,1351,3695,0025|0210|0266|0583|1385|2254|2456|2690|3530|3888|4056|4336|4840|5066|5077|5149|5218|6860|8238|8575|8661|8673|9429,0,
4154,4155,4086,2017-09-02,Sunday,10,25,3124,5904,1477,0124,0224,0864|1523|1883|1967|1977|2700|3354|4268|4932|5634|5973|6595|7038|8407|8677|8943|9239|9331|9562|9626|9845|9888|9932,0,
4155,4156,4087,2017-09-05,Wednesday,11,25,2926,2206,1726,0486,0406,0396|0928|1308|1607|2132|2624|3236|3355|3419|3822|4344|4421|4611|5618|5881|6211|6982|7175|7753|8113|8156|8988|9118,0,
4156,4157,4088,2017-09-08,Saturday,11,25,3356,2136,7574,3916,3136,0193|0581|0592|0947|0957|1221|1603|1942|1975|3166|3242|4149|4478|4638|5493|6189|6241|6545|7948|8904|9059|9924|9946,0,
4157,4158,4089,2017-09-09,Sunday,10,25,5545,3375,2300,1385,0175,0044|0361|0384|2109|3201|3517|3689|4236|5130|5524|5637|5904|6036|6078|7115|7329|7543|8125|8240|8419|8564|9419|9630,0,
4158,4159,4090,2017-09-12,Wednesday,11,25,2806,3814,0604,0625,1625,0031|0269|1374|2288|2349|2398|2463|3130|3225|3982|6546|7048|7347|7383|7542|7617|7619|7655|9010|9108|9495|9747|9937,0,
4159,4160,4091,2017-09-15,Saturday,11,25,4159,3024,8247,0247,2807,0848|2158|2231|2741|3605|4100|4388|4484|4511|4690|5369|5516|6194|6384|6701|7385|7436|7630|8047|9098|9532|9651|9871,0,
4160,4161,4092,2017-09-16,Sunday,10,25,0942,3753,9558,1773,1662,0550|0966|1441|1561|1633|1919|2110|2365|2454|3118|4421|4601|5061|5224|5427|5489|5883|5987|6277|6716|6826|7101|7363,0,
4161,4162,4093,2017-09-19,Wednesday,11,25,2926,3155,4827,2342,3262,0438|1091|1343|1554|1788|2061|2833|3111|3824|4473|4911|5642|5655|5683|6693|6988|7288|8850|8943|9079|9192|9675|9764,0,
